REGIAO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAUDE;QUANTIDADE;DATA DE SOLICITACAO;STATUS;DATA DE ENTREGA
NORTE;AMAZONAS;DSEI ALTO RIO NEGRO;SAO GABRIEL DA CACHOEIRA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;2020/06/05 00:00:00.000;EM ANDAMENTO;
NORTE;AMAZONAS;DSEI ALTO RIO NEGRO;SAO GABRIEL DA CACHOEIRA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;7500,0;2020/06/30 00:00:00.000;EM ANDAMENTO;
NORTE;AMAZONAS;DSEI ALTO RIO SOLIMOES;TABATINGA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2000,0;2020/06/18 00:00:00.000;EM ANDAMENTO;
NORTE;AMAZONAS;Distrito Sanitário Indígena/DSEI ALTO RIO SOLIMOES;TABATINGA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;4000,0;;ENTREGA REALIZADA;2020/02/05 00:00:00.000
NORTE;AMAZONAS;DSEI Médio Rio Solimões e Afluentes;TEFE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;7500,0;;ENTREGA REALIZADA;2020/02/10 00:00:00.000
NORDESTE;BAHIA;SES;SALVADOR;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;4000,0;2020/06/15 00:00:00.000;ENTREGA REALIZADA;2020/06/19 00:00:00.000
NORDESTE;CEARA;SES;FORTALEZA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/04/01 00:00:00.000
CENTRO-OESTE;DISTRITO FEDERAL;SES;BRASILIA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/02/03 00:00:00.000
SUDESTE;ESPIRITO SANTO;SES;VITORIA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;5000,0;;ENTREGA REALIZADA;2020/03/31 00:00:00.000
NORDESTE;MARANHAO;SES;SAO LUIS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;9000,0;;ENTREGA REALIZADA;2020/03/26 00:00:00.000
NORDESTE;MARANHAO;SES;SAO LUIS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;20000,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/12 00:00:00.000
NORDESTE;MARANHAO;SES;SAO LUIS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;20000,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/12 00:00:00.000
CENTRO-OESTE;MATO GROSSO;DSEI KAIAPO COLIDER;COLIDER;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;2020/06/30 00:00:00.000;ENTREGA REALIZADA;2020/07/01 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SES;CUIABA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;8500,0;;ENTREGA REALIZADA;2020/04/02 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SES;CUIABA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;8000,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/05 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SES;CUIABA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;8000,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/05 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SAUDE INDIGENA;Distrito Sanitária Especial Indígena de Cuiabá;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;;ENTREGA REALIZADA;2020/04/02 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SAUDE INDIGENA;Distrito Sanitário Especial Indígena Kaiapó Colider/MT;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/04/01 00:00:00.000
CENTRO-OESTE;MATO GROSSO DO SUL;SES;CAMPO GRANDE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;2020/06/05 00:00:00.000;ENTREGA REALIZADA;2020/06/15 00:00:00.000
SUDESTE;MINAS GERAIS;SES;CONTAGEM;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;;ENTREGA REALIZADA;2020/01/29 00:00:00.000
NORTE;PARA;DSEI ALTAMIRA;ALTAMIRA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;6500,0;2020/06/24 00:00:00.000;EM ANDAMENTO;
NORTE;PARA;DSEI Altamira;ALTAMIRA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;6500,0;;ENTREGA REALIZADA;2020/01/23 00:00:00.000
NORTE;PARA;Distrito Sanitário Especial Indígena Amapá;ALTAMIRA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/05/12 00:00:00.000
NORTE;PARA;Distrito Sanitário Indígena/DSEI GUAMA-TOCANTINS;BELEM;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;;ENTREGA REALIZADA;2020/03/27 00:00:00.000
NORTE;PARA;DSEI GUAMA TOCANTINS;BELEM;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;2020/06/10 00:00:00.000;ENTREGA REALIZADA;2020/06/17 00:00:00.000
NORTE;PARA;Distrito Sanitário Especial Indígena de RIO TAPAJOS;ITAITUBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;;ENTREGA REALIZADA;2020/03/28 00:00:00.000
NORTE;PARA;DSEI RIO TAPAJOS;ITAITUBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;19000,0;2020/06/10 00:00:00.000;ENTREGA REALIZADA;2020/06/22 00:00:00.000
NORTE;PARA;SES;MARITUBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;99500,0;;ENTREGA REALIZADA;2020/04/03 00:00:00.000
NORTE;PARA;SES;MARITUBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;97500,0;2020/06/10 00:00:00.000;ENTREGA REALIZADA;2020/06/22 00:00:00.000
NORTE;PARA;DSEI KAIAPO REDENCAO;REDENCAO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1000,0;2020/07/03 00:00:00.000;ENTREGA REALIZADA;2020/08/07 00:00:00.000
NORTE;PARA;Distrito Sanitário Especial Indígena Kayapó Redenção;REDENCAO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/08/07 00:00:00.000
SUL;PARANA;SES;CURITIBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;4000,0;;ENTREGA REALIZADA;2020/01/23 00:00:00.000
SUL;PARANA;SES;CURITIBA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;4000,0;2020/06/30 00:00:00.000;ENTREGA REALIZADA;2020/07/02 00:00:00.000
NORDESTE;PERNAMBUCO;SES;JABOATAO DOS GUARARAPES;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;2020/06/15 00:00:00.000;ENTREGA REALIZADA;2020/06/19 00:00:00.000
NORDESTE;PERNAMBUCO;SES;RECIFE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/01/27 00:00:00.000
NORDESTE;PIAUI;SES;TERESINA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;;ENTREGA REALIZADA;2020/05/20 00:00:00.000
NORDESTE;RIO GRANDE DO NORTE;SES;NATAL;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/03/10 00:00:00.000
NORDESTE;RIO GRANDE DO NORTE;SES;NATAL;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1000,0;;ENTREGA REALIZADA;2020/05/22 00:00:00.000
NORTE;RONDONIA;DSEI-VILHENA;CACOAL;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;;ENTREGA REALIZADA;2020/03/04 00:00:00.000
NORTE;RONDONIA;SAUDE INDIGENA;DSEI VILHENA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1500,0;2020/07/30 00:00:00.000;EM ANDAMENTO;
NORTE;RONDONIA;AGEVISA - SES;PORTO VELHO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;44000,0;;ENTREGA REALIZADA;2020/03/30 00:00:00.000
NORTE;RONDONIA;DSEI-PORTO VELHO;PORTO VELHO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;7500,0;;ENTREGA REALIZADA;2020/03/10 00:00:00.000
NORTE;RONDONIA;SES;PORTO VELHO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;57500,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/12 00:00:00.000
NORTE;RONDONIA;DSEI PORTO VELHO;PORTO VELHO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2000,0;2020/06/18 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RONDONIA;SES;PORTO VELHO;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;57500,0;2020/06/02 00:00:00.000;ENTREGA REALIZADA;2020/06/12 00:00:00.000
NORTE;RORAIMA;SES;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;38000,0;;ENTREGA REALIZADA;2020/04/02 00:00:00.000
NORTE;RORAIMA;Distrito Sanitário Especial Indígena YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;31000,0;;ENTREGA REALIZADA;2020/04/09 00:00:00.000
NORTE;RORAIMA;Distrito Sanitário Indígena/DSEI LESTE RORAIMA;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;10500,0;;ENTREGA REALIZADA;2020/02/03 00:00:00.000
NORTE;RORAIMA;Distrito Sanitário Especial Indígena Leste;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;12000,0;;ENTREGA REALIZADA;2020/03/30 00:00:00.000
NORTE;RORAIMA;SES;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;45500,0;2020/06/15 00:00:00.000;ENTREGA REALIZADA;2020/06/24 00:00:00.000
NORTE;RORAIMA;DSEI LESTE RR;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;24000,0;2020/06/10 00:00:00.000;ENTREGA REALIZADA;2020/06/19 00:00:00.000
NORTE;RORAIMA;DSEI LESTE RR;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;33000,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI LESTE RR;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;9500,0;2020/06/26 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI LESTE RR;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;12500,0;2020/06/27 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;33000,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/30 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;3500,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;500,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;6000,0;2020/06/25 00:00:00.000;ENTREGA REALIZADA;2020/06/29 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;1000,0;2020/06/05 00:00:00.000;ENTREGA REALIZADA;2020/06/18 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;74500,0;2020/06/10 00:00:00.000;ENTREGA REALIZADA;2020/06/19 00:00:00.000
NORTE;RORAIMA;DSEI YANOMAMI;BOA VISTA;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;30000,0;2020/07/30 00:00:00.000;EM ANDAMENTO;
SUL;SANTA CATARINA;SES;SAO JOSE;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;2500,0;;ENTREGA REALIZADA;2020/01/21 00:00:00.000
NORTE;TOCANTINS;SES;PALMAS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;5500,0;;ENTREGA REALIZADA;2020/03/31 00:00:00.000
NORTE;TOCANTINS;SES;PALMAS;DIFOSFATO DE CLOROQUINA 150MG;MALARIA;10500,0;;ENTREGA REALIZADA;2020/03/31 00:00:00.000
SUL;SANTA CATARINA;SMS;Ascura;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1500,0;;ENTREGA REALIZADA;2020/08/24 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Salvador do Sul;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Rio Grande;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40000,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Montenegro;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9000,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Maratá;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Harmonia;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1000,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;RIO GRANDE DO SUL;SMS;Capela de Santana;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2000,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;PARANA;SMS;Brochier;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;EM ANDAMENTO;
SUL;PARANA;SMS;Cambé;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
SUL;PARANA;SMS;Londrina;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1500,0;;ENTREGA REALIZADA;2020/08/18 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Nova Maringá;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/21 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Vale de São Domingos;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/09/08 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Santa Rita do Trivelato;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/21 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Salto do Céu;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/20 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Rondolândia;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/25 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Reserva do Cabaçal;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/20 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Tapurah;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2000,0;;ENTREGA REALIZADA;2020/08/28 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Santa Carmem;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1000,0;;ENTREGA REALIZADA;2020/08/31 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Porto Espiridião;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1500,0;;ENTREGA REALIZADA;2020/08/27 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Ubiratã;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1000,0;;ENTREGA REALIZADA;2020/08/31 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Nova Mutum;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5000,0;;ENTREGA REALIZADA;2020/08/27 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Nova Lacerda;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1500,0;;ENTREGA REALIZADA;2020/08/27 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Mirasol d' oeste;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1000,0;;ENTREGA REALIZADA;2020/08/27 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Bela Santíssima Trindade;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4000,0;;ENTREGA REALIZADA;2020/08/28 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Itanhangá;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/28 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Gloria d' oeste;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/28 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Feliz Natal;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2000,0;;ENTREGA REALIZADA;2020/09/04 00:00:00.000
CENTRO-OESTE;MATO GROSSO;SMS;Cláudia;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4500,0;;ENTREGA REALIZADA;2020/08/28 00:00:00.000
SUDESTE;MINAS GERAIS;SMS;Montes Claros;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;28500,0;;EM ANDAMENTO;
SUDESTE;MINAS GERAIS;SMS;Viçosa;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4500,0;;ENTREGA REALIZADA;2020/08/24 00:00:00.000
CENTRO-OESTE;GOIAS;SMS;Porongatu;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1500,0;;ENTREGA REALIZADA;2020/08/24 00:00:00.000
CENTRO-OESTE;GOIAS;SMS;Avelinópolis;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500,0;;ENTREGA REALIZADA;2020/08/31 00:00:00.000
CENTRO-OESTE;BAHIA;SMS;Jequié;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;13500,0;;ENTREGA REALIZADA;2020/08/25 00:00:00.000
CENTRO-OESTE;BAHIA;SMS;Vitória da Conquista;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50000,0;;ENTREGA REALIZADA;2020/08/25 00:00:00.000
CENTRO-OESTE;BAHIA;SMS;Itapetinga;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9000,0;;ENTREGA REALIZADA;2020/08/24 00:00:00.000
NORDESTE;ALAGOAS;SMS;Campo Alegre;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5500,0;;ENTREGA REALIZADA;2020/08/24 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1000,0;;ENTREGA REALIZADA;2020/08/13 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3000,0;;ENTREGA REALIZADA;2020/08/13 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4500,0;;ENTREGA REALIZADA;2020/08/13 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO PURUS;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;150,0;;ENTREGA REALIZADA;2020/08/12 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO PURUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;12000,0;;ENTREGA REALIZADA;2020/08/12 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3000,0;;ENTREGA REALIZADA;2020/04/27 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3000,0;;ENTREGA REALIZADA;2020/06/04 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1000,0;;ENTREGA REALIZADA;2020/04/27 00:00:00.000
NORTE;ACRE;SAUDE INDIGENA;DSEI ALTO RIO JURUA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4500,0;;ENTREGA REALIZADA;2020/07/07 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15000,0;;ENTREGA REALIZADA;2020/07/03 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5500,0;;ENTREGA REALIZADA;2020/03/25 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5000,0;;ENTREGA REALIZADA;2020/05/08 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;8000,0;;ENTREGA REALIZADA;2020/01/21 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;7500,0;;ENTREGA REALIZADA;2020/07/03 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;8200,0;;ENTREGA REALIZADA;2020/01/20 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1810,0;;ENTREGA REALIZADA;2020/03/25 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;5000,0;;ENTREGA REALIZADA;2020/05/08 00:00:00.000
NORTE;ACRE;SES;ACRE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15000,0;;ENTREGA REALIZADA;2020/08/07 00:00:00.000
NORTE;ACRE;SMS;RIO BRANCO;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15000,0;;ENTREGA REALIZADA;2020/07/03 00:00:00.000
NORTE;ACRE;SMS;RIO BRANCO;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;7500,0;;ENTREGA REALIZADA;2020/07/03 00:00:00.000
NORTE;ACRE;SMS;RIO BRANCO;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;7000,0;;ENTREGA REALIZADA;2020/08/12 00:00:00.000
NORTE;ACRE;SMS;RIO BRANCO;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30000,0;;ENTREGA REALIZADA;2020/08/12 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5000,0;;ENTREGA REALIZADA;2020/03/31 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5000,0;;ENTREGA REALIZADA;2020/04/18 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8000,0;;ENTREGA REALIZADA;2020/05/15 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79000,0;;ENTREGA REALIZADA;2020/06/14 00:00:00.000
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79000,0;;ENTREGA REALIZADA;2020/08/07 00:00:00.000
